1;AA.VV.;La testimonianza;;
2;AA.VV.;Ermeneutica della libertà religiosa;;
3;AA.VV.;Ermeneutica della libertà religiosa;;
4;AA.VV.;I senso comune;;
5;AA.VV.;I senso comune;;
6;AA.VV.;Tecnica e casistica;;
7;AA.VV.;Umanesimo e ermeneutica;;
8;AA.VV.;Rivelazione e storia;;
9;AA.VV.;Rivelazione e storia;;
10;AA.VV.;Prospettive sulla secolarizzazione;;
11;AA.VV.;Il simbolismo del tempo;;
12;AA.VV.;Ermeneutica del temppo;;
13;AA.VV.;Ermeneutica della filosofia della re;;
14;AA.VV.;L'infallibilità - L'aspetto filosofico;;
15;AA.VV.;L'infallibilità - L'aspetto filosofico;;
16;AA.VV.;Ermeneutica della secolarizzazione;;
17;AA.VV.;Significato e previsione;;
18;AA.VV.;Significato e previsione;;
19;AA.VV.;Ermeneutica e escatologia;;
29;AA.VV.;Ermeneutica e escatologia;;
21;AA.VV.;Campanella e Vico;;
22;AA.VV.;Campanella e Vico;;
23;AA.VV.;L'analisi del linguaggio teologico. Il nome di Dio ;;
24;AA.VV.;L'analisi del linguaggio teologico. Il nome di Dio;;
25;AA.VV.;Logica e analisi;;
26;AA.VV.;Filosofia e informazione;;
27;AA.VV.;Il problema della domanda;;
28;AA.VV.;Il problema della domanda;;
29;AA.VV.;Ermeneutica e tradizione;;
30;AA.VV.;Mito e fede;;
31;AA.VV.;Mito e fede;;
32;AA.VV.;Il mito della pena;;
33;AA.VV.;Il mito della pena;;
34;AA.VV.;Informazione e testimonianza;;
35;Ancona (a cura di);Nuove questioni di psicologia, voi.;;
36;Ancona (a cura di);Nuove questioni di psicologia, voi.;;
37;Mathieu (a cura di);Questioni di storiografia filosofica;;
38;Mathieu (a cura di);Questioni di storiografia filosofica;;
39;Mathieu (a cura di);Questioni di storiografia filosofica;;
40;Abbagnano N.;Dizionario di filosofia;;
41;Abbagnano N.;Storia della filosofia, vol. I;;
42;Abbagnano N.;Storia della filosofia, vol. II;;
